,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
404,0-0,1-5,Serving,15-15,0.134670487106,1047,2,0
405,0-0,5-1,Returning,15-15,0.865329512894,1047,2,0
406,0-0,1-5,Serving,15-30,0.121951219512,738,3,-1
407,0-0,5-1,Returning,30-15,0.878048780488,738,3,1
408,0-0,1-5,Serving,15-40,0.112765957447,470,4,-2
409,0-0,5-1,Returning,40-15,0.887234042553,470,4,2
410,0-0,1-5,Serving,30-0,0.16576819407,742,2,2
411,0-0,5-1,Returning,0-30,0.83423180593,742,2,-2
412,0-0,1-5,Serving,30-15,0.155813953488,860,3,1
413,0-0,5-1,Returning,15-30,0.844186046512,860,3,-1
414,0-0,1-5,Serving,30-30,0.132625994695,754,4,0
415,0-0,5-1,Returning,30-30,0.867374005305,754,4,0
416,0-0,1-5,Serving,30-40,0.11433447099,586,5,-1
417,0-0,5-1,Returning,40-30,0.88566552901,586,5,1
418,0-0,1-5,Serving,40-0,0.159645232816,451,3,3
419,0-0,5-1,Returning,0-40,0.840354767184,451,3,-3
420,0-0,1-5,Serving,40-15,0.158054711246,658,4,2
421,0-0,5-1,Returning,15-40,0.841945288754,658,4,-2
422,0-0,1-5,Serving,40-30,0.147058823529,680,5,1
423,0-0,5-1,Returning,30-40,0.852941176471,680,5,-1
424,0-0,1-5,Serving,40-40,0.125572868928,1091,6,0
